date,open,high,low,close,volume,symbol
2025-05-04,95922.86842404422,95922.86842404422,95922.86842404422,95922.86842404422,0,BTCUSDT
2025-05-05,94326.62048529249,94326.62048529249,94326.62048529249,94326.62048529249,0,BTCUSDT
2025-05-06,94758.8237105546,94758.8237105546,94758.8237105546,94758.8237105546,0,BTCUSDT
2025-05-07,96854.53198815876,96854.53198815876,96854.53198815876,96854.53198815876,0,BTCUSDT
2025-05-08,97026.49376966801,97026.49376966801,97026.49376966801,97026.49376966801,0,BTCUSDT
2025-05-09,103076.27555512934,103076.27555512934,103076.27555512934,103076.27555512934,0,BTCUSDT
2025-05-10,102962.54045692299,102962.54045692299,102962.54045692299,102962.54045692299,0,BTCUSDT
2025-05-11,104630.8792994166,104630.8792994166,104630.8792994166,104630.8792994166,0,BTCUSDT
2025-05-12,103994.061616746,103994.061616746,103994.061616746,103994.061616746,0,BTCUSDT
2025-05-13,102876.8304286011,102876.8304286011,102876.8304286011,102876.8304286011,0,BTCUSDT
2025-05-14,104184.49039270742,104184.49039270742,104184.49039270742,104184.49039270742,0,BTCUSDT
2025-05-15,103594.42575090709,103594.42575090709,103594.42575090709,103594.42575090709,0,BTCUSDT
2025-05-16,103708.85136423641,103708.85136423641,103708.85136423641,103708.85136423641,0,BTCUSDT
2025-05-17,103556.03493982446,103556.03493982446,103556.03493982446,103556.03493982446,0,BTCUSDT
2025-05-18,103212.36483885496,103212.36483885496,103212.36483885496,103212.36483885496,0,BTCUSDT
2025-05-19,106030.6376831359,106030.6376831359,106030.6376831359,106030.6376831359,0,BTCUSDT
2025-05-20,105629.41580436694,105629.41580436694,105629.41580436694,105629.41580436694,0,BTCUSDT
2025-05-21,106786.71995834043,106786.71995834043,106786.71995834043,106786.71995834043,0,BTCUSDT
2025-05-22,109665.86371625263,109665.86371625263,109665.86371625263,109665.86371625263,0,BTCUSDT
2025-05-23,111560.356938144,111560.356938144,111560.356938144,111560.356938144,0,BTCUSDT
2025-05-24,107216.66856870624,107216.66856870624,107216.66856870624,107216.66856870624,0,BTCUSDT
2025-05-25,107831.36374380375,107831.36374380375,107831.36374380375,107831.36374380375,0,BTCUSDT
2025-05-26,108861.81037744327,108861.81037744327,108861.81037744327,108861.81037744327,0,BTCUSDT
2025-05-27,109377.71513263129,109377.71513263129,109377.71513263129,109377.71513263129,0,BTCUSDT
2025-05-28,109068.45694901445,109068.45694901445,109068.45694901445,109068.45694901445,0,BTCUSDT
2025-05-29,107838.18431100152,107838.18431100152,107838.18431100152,107838.18431100152,0,BTCUSDT
2025-05-30,105745.41660358038,105745.41660358038,105745.41660358038,105745.41660358038,0,BTCUSDT
2025-05-31,104010.91956242644,104010.91956242644,104010.91956242644,104010.91956242644,0,BTCUSDT
2025-06-01,104687.50742934884,104687.50742934884,104687.50742934884,104687.50742934884,0,BTCUSDT
2025-06-02,105710.00593822816,105710.00593822816,105710.00593822816,105710.00593822816,0,BTCUSDT
2025-06-03,105884.74263221149,105884.74263221149,105884.74263221149,105884.74263221149,0,BTCUSDT
2025-06-04,105434.47745144971,105434.47745144971,105434.47745144971,105434.47745144971,0,BTCUSDT
2025-06-05,104812.9182188067,104812.9182188067,104812.9182188067,104812.9182188067,0,BTCUSDT
2025-06-06,101650.7387545425,101650.7387545425,101650.7387545425,101650.7387545425,0,BTCUSDT
2025-06-07,104409.74967959142,104409.74967959142,104409.74967959142,104409.74967959142,0,BTCUSDT
2025-06-08,105681.4546141758,105681.4546141758,105681.4546141758,105681.4546141758,0,BTCUSDT
2025-06-09,105692.24740699006,105692.24740699006,105692.24740699006,105692.24740699006,0,BTCUSDT
2025-06-10,110261.57485948496,110261.57485948496,110261.57485948496,110261.57485948496,0,BTCUSDT
2025-06-11,110212.73252109604,110212.73252109604,110212.73252109604,110212.73252109604,0,BTCUSDT
2025-06-12,108679.9760916168,108679.9760916168,108679.9760916168,108679.9760916168,0,BTCUSDT
2025-06-13,105979.22902375912,105979.22902375912,105979.22902375912,105979.22902375912,0,BTCUSDT
2025-06-14,106045.56440819203,106045.56440819203,106045.56440819203,106045.56440819203,0,BTCUSDT
2025-06-15,105482.90611628917,105482.90611628917,105482.90611628917,105482.90611628917,0,BTCUSDT
2025-06-16,105554.49383061715,105554.49383061715,105554.49383061715,105554.49383061715,0,BTCUSDT
2025-06-17,106951.2720181497,106951.2720181497,106951.2720181497,106951.2720181497,0,BTCUSDT
2025-06-18,104683.42479835715,104683.42479835715,104683.42479835715,104683.42479835715,0,BTCUSDT
2025-06-19,104722.695052907,104722.695052907,104722.695052907,104722.695052907,0,BTCUSDT
2025-06-20,104690.65002458123,104690.65002458123,104690.65002458123,104690.65002458123,0,BTCUSDT
2025-06-21,103290.105144757,103290.105144757,103290.105144757,103290.105144757,0,BTCUSDT
2025-06-22,101532.5683847329,101532.5683847329,101532.5683847329,101532.5683847329,0,BTCUSDT
2025-06-23,100852.58264648831,100852.58264648831,100852.58264648831,100852.58264648831,0,BTCUSDT
2025-06-24,105511.62437933135,105511.62437933135,105511.62437933135,105511.62437933135,0,BTCUSDT
2025-06-25,105976.06929808448,105976.06929808448,105976.06929808448,105976.06929808448,0,BTCUSDT
2025-06-26,107238.53045016268,107238.53045016268,107238.53045016268,107238.53045016268,0,BTCUSDT
2025-06-27,106984.01253775663,106984.01253775663,106984.01253775663,106984.01253775663,0,BTCUSDT
2025-06-28,107078.91560644074,107078.91560644074,107078.91560644074,107078.91560644074,0,BTCUSDT
2025-06-29,107331.58548463577,107331.58548463577,107331.58548463577,107331.58548463577,0,BTCUSDT
2025-06-30,108396.61631317894,108396.61631317894,108396.61631317894,108396.61631317894,0,BTCUSDT
2025-07-01,107132.79910701896,107132.79910701896,107132.79910701896,107132.79910701896,0,BTCUSDT
2025-07-02,105613.39974163055,105613.39974163055,105613.39974163055,105613.39974163055,0,BTCUSDT
2025-07-03,108824.44423167943,108824.44423167943,108824.44423167943,108824.44423167943,0,BTCUSDT
2025-07-04,109602.20483914016,109602.20483914016,109602.20483914016,109602.20483914016,0,BTCUSDT
2025-07-05,108040.8919400104,108040.8919400104,108040.8919400104,108040.8919400104,0,BTCUSDT
2025-07-06,108217.46849992426,108217.46849992426,108217.46849992426,108217.46849992426,0,BTCUSDT
